label_a,label_b,a_to_b,b_to_a,total_confusion,label_a_des,label_b_des
35,79,1,0,1,买家发送支付宝账号,买家咨询商品规格数量
35,62,1,0,1,买家发送支付宝账号,买家咨询买多件能否优惠
18,112,1,0,1,买家表示无法申请退款,买家咨询优惠券使用规则
18,104,1,0,1,买家表示无法申请退款,买家咨询退换货规则
18,97,1,0,1,买家表示无法申请退款,买家咨询是否可以指定快递
18,46,1,0,1,买家表示无法申请退款,买家要求取消退换货退款
18,29,1,0,1,买家表示无法申请退款,买家催促发货
18,23,1,0,1,买家表示无法申请退款,买家表示要重拍
8,72,1,0,1,买家表示马上下单付款,买家咨询如何下单
82,83,0,1,1,买家咨询商品区别,买家咨询商品上新时间
67,83,0,1,1,买家咨询能否开发票及发票类型和寄送时间,买家咨询商品上新时间
60,83,0,1,1,买家咨询活动规则,买家咨询商品上新时间
20,83,0,1,1,买家表示物流太慢了,买家咨询商品上新时间
45,93,1,0,1,买家要求核对订单信息,买家咨询是否可以发顺丰
45,62,1,0,1,买家要求核对订单信息,买家咨询买多件能否优惠
40,45,0,1,1,买家需要商品推荐,买家要求核对订单信息
12,45,0,1,1,买家表示商家发错货了,买家要求核对订单信息
9,45,0,1,1,买家表示拍错了,买家要求核对订单信息
95,114,1,0,1,买家咨询是否可以拒收,买家咨询运费险赔付规则
19,54,1,0,1,买家表示无法下单,买家咨询发货时间
19,71,1,0,1,买家表示无法下单,买家咨询如何领取优惠券
13,36,1,0,1,买家表示商品已经寄回去了,买家反馈收到的商品有问题
7,55,0,1,1,买家表示麻烦卖家，表达感谢,买家咨询发什么快递
1,55,0,1,1,买家表达不满/生气,买家咨询发什么快递
38,50,1,0,1,买家讨价还价,买家要求延迟发货
38,49,1,0,1,买家讨价还价,买家要求修改收件信息
38,47,1,0,1,买家讨价还价,买家要求添加商家微信
36,75,1,0,1,买家反馈收到的商品有问题,买家咨询商品包装
36,53,1,0,1,买家反馈收到的商品有问题,买家咨询到货时间
1,36,0,1,1,买家表达不满/生气,买家反馈收到的商品有问题
13,112,1,0,1,买家表示商品已经寄回去了,买家咨询优惠券使用规则
13,104,1,0,1,买家表示商品已经寄回去了,买家咨询退换货规则
13,90,1,0,1,买家表示商品已经寄回去了,买家咨询商品重量
13,61,1,0,1,买家表示商品已经寄回去了,买家咨询快递单号
13,60,1,0,1,买家表示商品已经寄回去了,买家咨询活动规则
6,13,0,1,1,买家表示具体时间寄回去,买家表示商品已经寄回去了
30,46,1,0,1,买家催促回复,买家要求取消退换货退款
0,77,1,0,1,买家抱怨商品涨价了,买家咨询商品的材质/面料
0,67,1,0,1,买家抱怨商品涨价了,买家咨询能否开发票及发票类型和寄送时间
0,65,1,0,1,买家抱怨商品涨价了,买家咨询能否定制
0,38,1,0,1,买家抱怨商品涨价了,买家讨价还价
0,5,1,0,1,买家抱怨商品涨价了,买家表示好的
67,69,0,1,1,买家咨询能否开发票及发票类型和寄送时间,买家咨询偏远地区是否发货
22,69,0,1,1,买家表示需要退货退款,买家咨询偏远地区是否发货
15,69,0,1,1,买家表示是老顾客,买家咨询偏远地区是否发货
9,69,0,1,1,买家表示拍错了,买家咨询偏远地区是否发货
58,92,1,0,1,买家咨询返现时间,买家咨询是否可以打折
56,109,1,0,1,买家咨询返现方式,买家咨询退款去向
56,97,1,0,1,买家咨询返现方式,买家咨询是否可以指定快递
56,62,1,0,1,买家咨询返现方式,买家咨询买多件能否优惠
20,55,0,1,1,买家表示物流太慢了,买家咨询发什么快递
55,66,1,0,1,买家咨询发什么快递,买家咨询能否分开/一起发货
80,105,1,0,1,买家咨询商品价格,买家咨询退换货运费由谁承担
15,39,1,0,1,买家表示是老顾客,买家向商家表达不好意思
4,40,1,0,1,买家表示地址正确,买家需要商品推荐
4,29,1,0,1,买家表示地址正确,买家催促发货
106,114,1,0,1,买家咨询退换货支持快递,买家咨询运费险赔付规则
98,106,0,1,1,买家咨询是否有好评返现,买家咨询退换货支持快递
84,106,0,1,1,买家咨询商品是不是预售款,买家咨询退换货支持快递
20,106,0,1,1,买家表示物流太慢了,买家咨询退换货支持快递
8,106,0,1,1,买家表示马上下单付款,买家咨询退换货支持快递
75,78,1,0,1,买家咨询商品包装,买家咨询商品的色差问题
1,75,0,1,1,买家表达不满/生气,买家咨询商品包装
72,102,1,0,1,买家咨询如何下单,买家咨询是否有味道
72,78,1,0,1,买家咨询如何下单,买家咨询商品的色差问题
28,72,0,1,1,买家表示再看看,买家咨询如何下单
59,104,1,0,1,买家咨询换货发货时间,买家咨询退换货规则
59,73,1,0,1,买家咨询换货发货时间,买家咨询商家发货地
22,59,0,1,1,买家表示需要退货退款,买家咨询换货发货时间
40,88,1,0,1,买家需要商品推荐,买家咨询商品是什么颜色
40,54,1,0,1,买家需要商品推荐,买家咨询发货时间
15,40,0,1,1,买家表示是老顾客,买家需要商品推荐
21,104,1,0,1,买家表示先买来试试,买家咨询退换货规则
21,82,1,0,1,买家表示先买来试试,买家咨询商品区别
21,74,1,0,1,买家表示先买来试试,买家咨询商家是否收到寄回的商品
21,72,1,0,1,买家表示先买来试试,买家咨询如何下单
21,62,1,0,1,买家表示先买来试试,买家咨询买多件能否优惠
20,62,1,0,1,买家表示物流太慢了,买家咨询买多件能否优惠
15,111,1,0,1,买家表示是老顾客,买家咨询物流信息
15,99,1,0,1,买家表示是老顾客,买家咨询是否有活动
15,60,1,0,1,买家表示是老顾客,买家咨询活动规则
54,56,0,1,1,买家咨询发货时间,买家咨询返现方式
46,56,0,1,1,买家要求取消退换货退款,买家咨询返现方式
22,56,0,1,1,买家表示需要退货退款,买家咨询返现方式
6,112,1,0,1,买家表示具体时间寄回去,买家咨询优惠券使用规则
6,79,1,0,1,买家表示具体时间寄回去,买家咨询商品规格数量
6,77,1,0,1,买家表示具体时间寄回去,买家咨询商品的材质/面料
6,67,1,0,1,买家表示具体时间寄回去,买家咨询能否开发票及发票类型和寄送时间
6,47,1,0,1,买家表示具体时间寄回去,买家要求添加商家微信
6,20,1,0,1,买家表示具体时间寄回去,买家表示物流太慢了
1,6,0,1,1,买家表达不满/生气,买家表示具体时间寄回去
106,113,0,1,1,买家咨询退换货支持快递,买家咨询运费金额
85,113,0,1,1,买家咨询商品是否可以单买/单卖,买家咨询运费金额
30,113,0,1,1,买家催促回复,买家咨询运费金额
97,108,0,1,1,买家咨询是否可以指定快递,买家咨询退款金额
49,108,0,1,1,买家要求修改收件信息,买家咨询退款金额
38,108,0,1,1,买家讨价还价,买家咨询退款金额
12,108,0,1,1,买家表示商家发错货了,买家咨询退款金额
87,114,1,0,1,买家咨询商品是否有质保，质保多久,买家咨询运费险赔付规则
87,105,1,0,1,买家咨询商品是否有质保，质保多久,买家咨询退换货运费由谁承担
73,111,1,0,1,买家咨询商家发货地,买家咨询物流信息
73,105,1,0,1,买家咨询商家发货地,买家咨询退换货运费由谁承担
73,94,1,0,1,买家咨询商家发货地,买家咨询是否可以改价
73,92,1,0,1,买家咨询商家发货地,买家咨询是否可以打折
61,109,1,0,1,买家咨询快递单号,买家咨询退款去向
61,82,1,0,1,买家咨询快递单号,买家咨询商品区别
29,61,0,1,1,买家催促发货,买家咨询快递单号
26,61,0,1,1,买家表示优惠券无法使用,买家咨询快递单号
30,114,1,0,1,买家催促回复,买家咨询运费险赔付规则
30,102,1,0,1,买家催促回复,买家咨询是否有味道
30,82,1,0,1,买家催促回复,买家咨询商品区别
30,65,1,0,1,买家催促回复,买家咨询能否定制
6,104,1,0,1,买家表示具体时间寄回去,买家咨询退换货规则
28,36,1,0,1,买家表示再看看,买家反馈收到的商品有问题
32,88,1,0,1,买家对特定款式/颜色表达喜好,买家咨询商品是什么颜色
28,57,1,0,1,买家表示再看看,买家咨询返现金额
32,77,1,0,1,买家对特定款式/颜色表达喜好,买家咨询商品的材质/面料
32,49,1,0,1,买家对特定款式/颜色表达喜好,买家要求修改收件信息
10,32,0,1,1,买家表示伤心难过,买家对特定款式/颜色表达喜好
103,106,1,0,1,买家咨询退换货地址,买家咨询退换货支持快递
89,103,0,1,1,买家咨询商品质量是否有保障,买家咨询退换货地址
60,103,0,1,1,买家咨询活动规则,买家咨询退换货地址
38,103,0,1,1,买家讨价还价,买家咨询退换货地址
49,94,0,1,1,买家要求修改收件信息,买家咨询是否可以改价
39,94,0,1,1,买家向商家表达不好意思,买家咨询是否可以改价
3,94,0,1,1,买家表示不想要了,买家咨询是否可以改价
78,81,0,1,1,买家咨询商品的色差问题,买家咨询商品具体尺码尺寸
67,81,0,1,1,买家咨询能否开发票及发票类型和寄送时间,买家咨询商品具体尺码尺寸
61,81,0,1,1,买家咨询快递单号,买家咨询商品具体尺码尺寸
60,81,0,1,1,买家咨询活动规则,买家咨询商品具体尺码尺寸
0,81,0,1,1,买家抱怨商品涨价了,买家咨询商品具体尺码尺寸
64,94,1,0,1,买家咨询能否到付,买家咨询是否可以改价
64,82,1,0,1,买家咨询能否到付,买家咨询商品区别
62,64,0,1,1,买家咨询买多件能否优惠,买家咨询能否到付
44,57,0,1,1,买家要求改运费,买家咨询返现金额
30,57,0,1,1,买家催促回复,买家咨询返现金额
47,80,1,0,1,买家要求添加商家微信,买家咨询商品价格
47,61,1,0,1,买家要求添加商家微信,买家咨询快递单号
46,47,0,1,1,买家要求取消退换货退款,买家要求添加商家微信
22,47,0,1,1,买家表示需要退货退款,买家要求添加商家微信
21,47,0,1,1,买家表示先买来试试,买家要求添加商家微信
15,47,0,1,1,买家表示是老顾客,买家要求添加商家微信
28,60,1,0,1,买家表示再看看,买家咨询活动规则
60,107,1,0,1,买家咨询活动规则,买家咨询退货退款原因选什么
