text,label,words,y_pred
1129,《当婆婆遇上妈》热播 80后艰难婚姻引发共鸣,9,《 当 婆婆 遇上 妈 》 热播   80 后 艰难 婚姻 ,9
1130,郭晓冬郭晓峰《我是真的》戏里戏外兄弟情深,9,郭晓冬 郭晓峰 《 我 是 真的 》 戏里 戏外 兄弟 情深,9
1131,组图：《新宿事件》剧照曝光 成龙上演激烈枪战,9,组图 ： 《 新宿 事件 》 剧照 曝光   成龙 上演 激,9
1132,香港豪宅多个项目抢攻内地富豪,1,香港 豪宅 多个 项目 抢攻 内地 富豪,1
1133,艺电2.75亿美元收购Playfish,2,艺电 2.75 亿美元 收购 Playfish,2
1134,男子欲跳江被救后称只为向心仪女孩表决心,5,男子 欲 跳江 被 救后 称 只 为 向 心仪 女孩 表决 ,5
1135,大客车深夜追尾司机身亡 受伤乘客互相救援(图),5,大客车 深夜 追尾 司机 身亡   受伤 乘客 互相 救援 ,5
1136,窝轮视点：腾讯整固后或再呈强势 留意其认购证,2,窝轮 视点 ： 腾讯 整固 后 或 再 呈 强势   留意 ,2
1137,惠誉下调吉百利评级至BBB-,2,惠誉 下调 吉百利 评级 至 BBB -,2
1138,考研10月10日起开始正式报名,3,考研 10 月 10 日起 开始 正式 报名,3
1139,派出所副所长驾车撞死2人逃逸让妻子顶包,5,派出所 副所长 驾车 撞死 2 人 逃逸 让 妻子 顶包,5
1140,西班牙和葡萄牙国债违约风险涨至历史新高,2,西班牙 和 葡萄牙 国债 违约 风险 涨至 历史 新高,2
1141,预告：23日直播朱珠首张个人专辑发布会,9,预告 ： 23 日 直播 朱珠 首张 个人专辑 发布会,9
1142,国药称适当时会考虑回归A股,2,国药 称 适当 时会 考虑 回归 A股,2
1143,拿破仑家族密藏200年 裸体蒙娜丽莎浮出水面,0,拿破仑 家族 密藏 200 年   裸体 蒙娜丽莎 浮出 水,5
1144,中农大校长“力捧”13岁新生(图),3,中农 大 校长 “ 力 捧 ” 13 岁 新生 ( 图 ),3
1145,专家称日本半年内必将出现新型流感大感染,6,专家 称 日本 半年 内 必将 出现 新型 流感 大 感染,6
1146,带票含税 尼康D7000套机特惠仅9799元,4,带票 含税   尼康 D7000 套机 特惠 仅 9799 ,4
1147,考研故事：放弃保研 为了梦想而战,3,考研 故事 ： 放弃 保研   为了 梦想 而战,3
1148,预告-18日14时 杨毅做客新浪 畅谈火箭抢七大战,7,预告 - 18 日 14 时   杨毅 做客 新浪   畅谈,9
1149,河北泊爱蓝岛270平起别墅8000起售全款97折,1,河北 泊爱 蓝岛 270 平起 别墅 8000 起售 全款 ,1
1150,华友世纪向盛大增发5.5亿股,4,华友 世纪 向 盛大 增发 5.5 亿股,8
1151,陈奕迅北京个唱获李小鹏撑场兴奋夺国家队风衣,9,陈奕迅 北京 个 唱 获 李小鹏 撑场 兴奋 夺 国家队 风,9
1152,一场虚拟的游戏 一个真实的梦,8,一场 虚拟 的 游戏   一个 真实 的 梦,8
1153,时尚上网本 富士通M2010报价4399元,4,时尚 上网 本   富士通 M2010 报价 4399 元,4
1154,中国平安全年多赚25%至173.1亿元 派息40分,2,中国 平安 全年 多 赚 25% 至 173.1 亿元   ,2
1155,房山芭蕾雨悦都80平起2-3居均16000元省8万(图),1,房山 芭蕾 雨悦 都 80 平起 2 - 3 居均 1600,1
1156,富力地产与世博同行营造低碳绿色新生活,1,富力 地产 与 世博 同行 营造 低碳 绿色 新 生活,1
1157,轿车在大学门口连撞4名学生后逃逸,5,轿车 在 大学 门口 连撞 4 名 学生 后 逃逸,3
1158,密云观唐云鼎别墅18日抽取代金券最高减50万,1,密云 观唐 云鼎 别墅 18 日 抽取 代金券 最高 减 5,1
1159,快讯：携程第三季净利2800万美元同比增长80%,4,快讯 ： 携程 第三季 净利 2800 万美元 同比 增长 ,4
1160,前八月新基金成立数已达去年全年水平,0,前 八月 新 基金 成立 数已 达 去年 全年 水平,0
1161,抽粪车管道爆裂粪便四射 居民疑其偷抽粪便变卖,5,抽 粪车 管道 爆裂 粪便 四射   居民 疑其 偷 抽 粪,5
1162,《大众网球 便携版》中文版6月推出,8,《 大众 网球   便携 版 》 中文版 6 月 推出,4
1163,历届亚洲杯冠军：日本近6届4次夺冠 伊朗曾三连冠,7,历届 亚洲杯 冠军 ： 日本 近 6 届 4 次 夺冠   ,7
1164,单反性能+卡片身材 佳能G12仅3750送礼,4,单反 性能 + 卡片 身材   佳能 G12 仅 3750 ,4
1165,NYMEX原油期货3日亚洲电子盘再攀高位,0,NYMEX 原油期货 3 日 亚洲 电子盘 再 攀 高位,0
1166,伊母曝婆媳不和致婚变 伊能静称母亲被套话(图),9,伊母 曝 婆媳 不和致 婚变   伊能静 称 母亲 被 套话,9
1167,广佛地铁工地旁路脆脆 泥头车驶过失蹄,1,广佛 地铁 工地 旁路 脆脆   泥头车 驶过 失蹄,5
1168,加息预期压制 纽约金价连跌2天,2,加息 预期 压制   纽约 金价 连跌 2 天,2
1169,传蔡斌对裁判不满离场抗议：只希望比赛有公平环境,7,传 蔡斌 对 裁判 不满 离场 抗议 ： 只 希望 比赛 有,7
1170,柳暗花明又一村 考研成功调剂有高招,3,柳暗花明又一村   考研 成功 调剂 有 高招,3
1171,三普药业进军电子商务,4,三普 药业 进军 电子商务,4
1172,电影《国家代表》蝉联韩国周末票房冠军(图),9,电影 《 国家 代表 》 蝉联 韩国 周末 票房 冠军 ( ,9
1173,育儿算出惊心帐：北京养大1个孩成本超42万,0,育儿 算 出 惊心 帐 ： 北京 养大 1 个孩 成本 超 ,1
1174,远兴能源：股价严重超跌 逢低关注,2,远兴 能源 ： 股价 严重 超跌   逢 低 关注,2
1175,大半年牛市 上市公司投基亏多赚少,0,大半年 牛市   上市公司 投基亏 多 赚 少,2
1176,市场阶段性供给宽松 豆类将进入天气市,0,市场 阶段性 供给 宽松   豆类 将 进入 天气 市,2
1177,美国密歇根州发生枪击事件7人丧生,6,美国 密歇根州 发生 枪击 事件 7 人 丧生,6
1178,萨科齐自称压力大可能不再寻求连任,6,萨科齐 自称 压力 大 可能 不再 寻求 连任,6
1179,贪官与情妇博文被指影射女公务员 作者赔偿4万,5,贪官 与 情妇 博文 被 指 影射 女 公务员   作者 赔,3
1180,12英寸金属壳 联想昭阳K23商务本低价,4,12 英寸 金属 壳   联想昭阳 K23 商务 本 低价,4
1181,超牛资源：无孔不入的耶鲁校友网(组图),3,超牛 资源 ： 无孔不入 的 耶鲁 校友网 ( 组图 ),9
1182,切尔西亮最强11人也亮出命门 穆帅都没迈过这道坎,7,切尔西 亮 最强 11 人 也 亮出 命门   穆帅 都 没,7
1183,枪手代中学生写作业自称月挣1500元,5,枪手 代 中学生 写 作业 自称 月 挣 1500 元,5
1184,农用三轮车行驶中侧翻起火致车主肢体残疾,5,农用 三轮车 行驶 中 侧翻 起火 致 车主 肢体 残疾,5
1185,大商所发布实际控制关系账户持仓管理规定,0,大商所 发布 实际 控制关系 账户 持仓 管理 规定,0
1186,股票难赚钱 股民转战期市放空,0,股票 难 赚钱   股民 转战 期 市 放空,2
1187,香港警方重案组介入调查红�旧楼倒塌,6,香港 警方 重案 组 介入 调查 红 � 旧楼 倒塌,5
1188,《噗哟噗哟7》WiiPSP版发售日公布,8,《 噗 哟 噗 哟 7 》 WiiPSP 版 发售日 公布,8
1189,高考评论：考生大幅“跳水”是个好现象,3,高考 评论 ： 考生 大幅 “ 跳水 ” 是 个 好 现象,3
1190,媒体称圆明园兽首铜像买家为佳士得高管,0,媒体 称 圆明园 兽首 铜像 买家 为 佳士得 高管,6
1191,收评：有色金属延续反弹 郑糖强劲创新高,0,收评 ： 有色金属 延续 反弹   郑糖 强劲 创新 高,0
1192,蒙牛否认美私募巨头入股 投资者期望已成泡影,2,蒙牛 否认 美 私募 巨头 入股   投资者 期望 已成 泡,0
1193,友谊赛-意大利VS荷兰首发：吉拉迪诺领衔433对攻,7,友谊赛 - 意大利 VS 荷兰 首发 ： 吉拉迪诺 领衔 4,7
1194,胡锦涛同塔吉克斯坦总统会谈,6,胡锦涛 同 塔吉克斯坦 总统 会谈,6
1195,6名男子假冒军警驾驶假军车持警棍抢劫车辆,5,6 名 男子 假冒 军警 驾驶 假 军车 持 警棍 抢劫 车,5
1196,美军参联会主席称朝鲜对地区和平构成威胁,6,美军 参联会 主席 称 朝鲜 对 地区 和平 构成威胁,6
1197,激情如火 挑战英雄岛火爆拉锯赢好礼,8,激情 如火   挑战 英雄 岛 火爆 拉锯 赢 好 礼,8
1198,荣昊鼻梁骨骨折将手术复位 紧急订制面罩盼周末复出,7,荣昊 鼻梁骨 骨折 将 手术 复位   紧急 订制 面罩 盼,9
1199,移动电视来到身边 AOC推出CMMB产品X850,4,移动 电视 来到 身边   AOC 推出 CMMB 产品 X,4
1200,外媒评选：游戏中最酷反派角色Top25,8,外媒 评选 ： 游戏 中 最酷 反派 角色 Top25,8
1201,《边缘战士》最新实战预告 通力合作,8,《 边缘 战士 》 最新 实战 预告   通力合作,8
1202,招聘启事显示iPhone 5或于8月中旬发布,4,招聘启事 显示 iPhone   5 或于 8 月 中旬 发,4
1203,绿城成合营拓浙江省商住项目,2,绿城 成 合营 拓 浙江省 商住 项目,1
1204,空战新作《伊尔2：多佛白崖》公布,8,空战 新作 《 伊尔 2 ： 多佛 白崖 》 公布,8
1205,陈水扁体重增加3斤 继续绝食书写诉状,6,陈水扁 体重增加 3 斤   继续 绝食 书写 诉状,6
1206,赵薇透露想带孩子看看家乡 与老公品尝美食(图),9,赵薇 透露 想带 孩子 看看 家乡   与 老公 品尝 美食,9
1207,吴晓灵：证券投资基金法已征求第一轮意见,0,吴晓灵 ： 证券 投资 基金法 已 征求 第一轮 意见,2
1208,i3芯5470独显 戴尔4G内存思跃15本促销,4,i3 芯 5470 独显   戴尔 4G 内存 思跃 15 ,4
1209,各国高考盘点：日本国立大学不易上,3,各国 高考 盘点 ： 日本 国立大学 不易 上,3
1210,默克尔将与自由民主党联合组阁,6,默克尔 将 与 自由民主党 联合 组阁,6
1211,正官庄前瞻：三国风云再起 叶桂率四小丫剑指冠军,7,正官庄 前瞻 ： 三国 风云 再起   叶桂率 四小丫剑 指,8
1212,皇马官方确认范尼伤别本赛季 残缺阵容遭沉痛打击,7,皇马 官方 确认 范尼伤 别 本赛季   残缺 阵容 遭 沉,7
1213,西班牙中国留学生难适应生活“潜规则”,3,西班牙 中国 留学生 难 适应 生活 “ 潜规则 ”,3
1214,楼市吉尼斯：最深地下室户型纵深8.2米,1,楼市 吉尼斯 ： 最深 地下室 户型 纵深 8.2 米,1
1215,手游《仙镜》酷爽季百万饮料免费送,8,手游 《 仙镜 》 酷爽季 百万 饮料 免费送,8
1216,成龙“被去世”后亮相晚会 开腔唱《相信自己》,9,成龙 “ 被 去世 ” 后 亮相 晚会   开腔 唱 《 相,9
1217,客运商人求垄断扎他人车胎打伤外地司机,5,客运 商人 求 垄断 扎 他人 车胎 打伤 外地 司机,5
1218,基金公司发力指数基金,0,基金 公司 发力 指数 基金,0
1219,内存升级双3G支持 天翼黑莓Bold 9650评测,4,内存 升级 双 3G 支持   天翼 黑莓 Bold   9,4
1220,消息面进入真空期 市场下行压力加大,2,消息面 进入 真空 期   市场 下行 压力 加大,2
1221,清华女生解说游戏走红被人肉搜索,5,清华 女生 解说 游戏 走红 被 人肉 搜索,8
1222,3.7寸AMOLED屏 三星Galaxy U韩国上市,4,3.7 寸 AMOLED 屏   三星 Galaxy   U,4
1223,以色列前总理沙龙中风5年出现好转迹象,6,以色列 前 总理 沙龙 中风 5 年 出现 好转 迹象,6
1224,通胀欲来之 黄金能否保航,0,通胀 欲 来 之   黄金 能否 保航,0
1225,2011年北京14所高职自主招生3345人,3,2011 年 北京 14 所 高职 自主 招生 3345 人,3
1226,NYMEX原油期货13日亚洲电子盘维稳于89美元,0,NYMEX 原油期货 13 日 亚洲 电子盘 维稳于 89 ,0
1227,2011年考研英语翻译备考三步骤,3,2011 年 考研 英语翻译 备考 三 步骤,3
1228,伊拉克逮捕93名击基地组织嫌犯,6,伊拉克 逮捕 93 名击 基地 组织 嫌犯,6
1229,成功企业家父母教育孩子的20条妙招,3,成功 企业家 父母 教育 孩子 的 20 条妙 招,3
1230,卧铺客车偷运430条毒蛇被查,5,卧铺 客车 偷运 430 条 毒蛇 被查,9
1231,昌平雍�台景观板楼8月开盘均价8800元(图),1,昌平 雍 � 台 景观 板楼 8 月 开盘 均价 8800 ,1
1232,权威人士认为2009年中国期市将迎来三大突破,0,权威人士 认为 2009 年 中国 期市 将 迎来 三大 突,3
1233,网购防“网络钓鱼”风险出新招,4,网购 防 “ 网络 钓鱼 ” 风险 出新招,4
1234,国际刑事法庭决定临时释放刚果(金)前副总统,6,国际 刑事法庭 决定 临时 释放 刚果 ( 金 ) 前 副 ,6
1235,上海倒覆楼房评估价格出炉 每平米1.8万到2.1万,1,上海 倒 覆 楼房 评估 价格 出炉   每平米 1.8 万,0
1236,绝地反击隐身幽灵 战场上的一把利剑,8,绝地 反击 隐身 幽灵   战场 上 的 一把 利剑,8
1237,抽丝剥茧：有毒资产侵蚀银行全过程,0,抽丝剥茧 ： 有毒 资产 侵蚀 银行 全过程,0
1238,官网称邵佳一因伤缺席热身 没有他的球队进攻打折扣,7,官网 称 邵佳一 因伤 缺席 热身   没有 他 的 球队 ,7
1239,消息称诺基亚明年发布第二款Linux手机,4,消息 称 诺基亚 明年 发布 第二款 Linux 手机,4
1240,电影票房期货市场初露头角 好莱坞巨头全力反击,0,电影票房 期货市场 初露头角   好莱坞 巨头 全力 反击,0
1241,传加护亚依签约拍AV作品 昔日早安少女麻烦不断,9,传 加护 亚依 签约 拍 AV 作品   昔日 早安 少女 ,5
1242,组图：摄影师拍下高坡梯田雨后景观,5,组图 ： 摄影师 拍 下 高坡 梯田 雨 后 景观,5
1243,张惠妹揭晓最后奖项 蔡依林成最受欢迎女歌手,9,张惠妹 揭晓 最后 奖项   蔡依林 成 最 受欢迎 女歌手,9
1244,SE成立北京事务处 预备进军中国市场,8,SE 成立 北京 事务处   预备 进军 中国 市场,1
1245,基金：总是挨打的乖孩子,0,基金 ： 总是 挨打 的 乖孩子,0
1246,华为高管集体上微博,4,华为 高管 集体 上 微博,4
1247,创富档案：首个电池专卖网站,4,创富 档案 ： 首个 电池 专卖 网站,4
1248,霍震霆笑而不谈娶儿媳 郭晶晶进驻豪门时间成谜,9,霍震霆 笑 而 不谈 娶 儿媳   郭晶晶 进驻 豪门 时间,5
1249,2011年考研时间确定 1月15日至17日进行,3,2011 年 考研 时间 确定   1 月 15 日至 17,3
1250,复旦校长称希望5年内每个本科生都能出国交流,3,复旦 校长 称 希望 5 年内 每个 本科生 都 能 出国 ,3
1251,新期货司法解释为期市健康稳定发展保驾护航,0,新 期货 司法解释 为期 市 健康 稳定 发展 保驾护航,0
1252,丈夫转让夫妻共有土地遭妻子起诉,5,丈夫 转让 夫妻 共有 土地 遭 妻子 起诉,5
1253,华东师范大学09考研初试成绩查询开通,3,华东师范大学 09 考研 初试 成绩 查询 开通,3
1254,江西2010年成考录取最低控制分数线,3,江西 2010 年 成考 录取 最低 控制 分数线,3
1255,光大证券6月实现净利润2.14亿元,2,光大 证券 6 月 实现 净利润 2.14 亿元,2
1256,恒指早盘高开0.31%报22587 中资银行股略有反弹,2,恒指 早盘 高开 0.31% 报 22587   中资银行 ,2
1257,狂贺！“红之乐章Super Collection”,8,狂贺 ！ “ 红 之 乐章 Super   Collecti,9
1258,赵丹阳不忘向巴菲特荐股,0,赵 丹阳 不忘向 巴菲特 荐 股,0
1259,华润电力：德银评级买入 目标价17.6港元,2,华润 电力 ： 德银 评级 买入   目标价 17.6 港元,2
1260,高校贫困三好生行窃受审 20余名同学求情,5,高校 贫困 三好生 行窃 受审   20 余名 同学 求情,3
1261,王菲狂做瑜伽备战成都 艳丽休闲装神态轻松(图),9,王菲 狂 做 瑜伽 备战 成都   艳丽 休闲装 神态 轻松,9
1262,工商总局拟要求个人开网店须实名注册,6,工商总局 拟 要求 个人 开 网店 须 实名 注册,6
1263,厦门保障房法规出台,1,厦门 保障 房 法规 出台,1
1264,《灵兽世界》周年活动海量奖励发送,8,《 灵兽 世界 》 周年 活动 海量 奖励 发送,8
1265,姚明：我为队友自豪 中国男篮可以打出漂亮篮球,7,姚明 ： 我 为 队友 自豪   中国男篮 可以 打出 漂亮,7
1266,韩国男子连杀7名妇女称失去妻子后受打击,6,韩国 男子 连杀 7 名 妇女 称 失去 妻子 后受 打击,5
1267,小学奥数题太难耗掉理科博士半小时,5,小学 奥数 题太难 耗掉 理科 博士 半小时,3
1268,工银沪深300基金募集逾27亿份,0,工银沪深 300 基金 募集 逾 27 亿份,0
1269,外交部：胡锦涛明年1月将对美国进行国事访问,6,外交部 ： 胡锦涛 明年 1 月 将 对 美国 进行 国事访,6
1270,海口球迷误将韩鹏当杜威 雷人资深球迷急寻贾秀全,7,海口 球迷 误 将 韩鹏 当 杜威   雷人 资深 球迷 急,7
1271,老人桥洞内教农民工子女乐器遭周边居民驱赶,5,老人 桥洞 内教 农民工 子女 乐器 遭 周边 居民 驱赶,5
1272,保安队长抓歹徒牺牲 家属获赔56万,5,保安队 长 抓 歹徒 牺牲   家属 获赔 56 万,5
1273,情人节派对周丽淇关心妍合照扭扭捏捏(图),9,情人节 派对 周丽淇 关心妍 合照 扭扭捏捏 ( 图 ),9
1274,风暴莫兰蒂下午到夜里可能进入浙江境内,6,风暴 莫兰蒂 下午 到 夜里 可能 进入 浙江 境内,2
1275,大商所进一步加强风险防范工作,0,大商所 进一步 加强 风险 防范 工作,0
1276,象棋个人赛6轮赵鑫鑫擒赵国荣领跑 蒋川失好局(谱),7,象棋 个人赛 6 轮 赵鑫鑫 擒 赵国荣 领跑   蒋川失 ,7
1277,从中国平安隐退后 张子欣或将经营新基金,0,从 中国 平安 隐退 后   张子欣 或 将 经营 新 基金,0
1278,汽车商柳暗花明 橡胶震荡筑底,0,汽车 商 柳暗花明   橡胶 震荡 筑底,2
1279,江丙坤宣布将留任海基会董事长,6,江丙坤 宣布 将 留任 海基会 董事长,6
1280,专家解读：浙江省2009年高考技术考试说明出台,3,专家 解读 ： 浙江省 2009 年 高考 技术 考试 说明,3
1281,龙湖区连续第八年开展“慈善助学”活动,1,龙湖区 连续 第八年 开展 “ 慈善 助学 ” 活动,8
1282,上海公办高中“择校生”计划数不超15%,3,上海 公办 高中 “ 择校生 ” 计划数 不超 15%,3
1283,盘点09年楼市 房价疯狂,1,盘点 09 年 楼市   房价 疯狂,1
1284,影视地产火爆体验 益田奥斯卡城新品推介会(组图),1,影视 地产 火爆 体验   益田 奥斯卡 城 新品 推介会 ,1
1285,港股认股证成交额32.88亿元 占大市11.5%,2,港股 认股证 成交额 32.88 亿元   占大市 11.5,2
1286,快乐电竞 华联万柳“十一”邀你打擂,8,快乐 电竞   华联 万柳 “ 十一 ” 邀 你 打擂,9
1287,东2环悠唐麒麟公馆在售70平1居低层房优惠(图),1,东 2 环悠 唐 麒麟 公馆 在售 70 平 1 居 低层 ,1
1288,赛迪网承建2009软博会官网 主题为两化融合,4,赛迪网 承建 2009 软博会 官网   主题 为 两化 融,1
1289,微博联播：导演网友热议电影版权,9,微博 联播 ： 导演 网友 热议 电影 版权,9
1290,利多因素叠加 天胶或挑战新高,0,利多 因素 叠加   天胶 或 挑战 新高,0
1291,摩通维持上实增持评级 目标价44.3元,2,摩通 维持 上 实增 持 评级   目标价 44.3 元,2
1292,专家：有姚明可多赢10场球 火箭更倾向留下巴蒂尔,7,专家 ： 有 姚明 可多 赢 10 场球   火箭 更 倾向,7
1293,23险企已获QDII资格 多数赴港打新股,2,23 险企已 获 QDII 资格   多数 赴 港 打 新股,0
1294,陕西下血本天价买回于海 留洋先锋身价绝不低标王,7,陕西 下 血本 天价 买 回于 海   留洋 先锋 身价 绝,0
1295,网易第三季度业绩低于分析师预期,4,网易 第三季度 业绩 低于 分析师 预期,4
1296,《开天Q传2》新手进阶之操作大全,8,《 开天 Q 传 2 》 新手 进阶 之 操作 大全,8
1297,高盛遭指控引发避险情绪升温 美元急涨,2,高盛 遭 指控 引发 避险 情绪 升温   美元 急涨,0
1298,京华山一：恒生银行上升空间有限 维持观望,2,京 华山 一 ： 恒生 银行 上升 空间 有限   维持 观,2
1299,报考指南：三大类电气工程热门院校搜索,3,报考 指南 ： 三大类 电气工程 热门 院校 搜索,3
1300,时尚卡片数码相机 三星PL120促销售890元,4,时尚 卡片 数码相机   三星 PL120 促 销售 890,4
1301,润枫嘉尚1号楼16至18层全景式行邸发售(图),1,润枫 嘉尚 1 号楼 16 至 18 层 全景式 行邸 发售,8
1302,北5环中国铁建国际城2期152平4居尾房在售(图),1,北 5 环 中国 铁建 国际 城 2 期 152 平 4 居,1
1303,阿根廷圣地亚哥-德尔埃斯特罗省发生6.9级地震,6,阿根廷 圣地亚哥 - 德尔 埃斯特 罗省 发生 6.9 级 ,6
1304,美股评论：选举结果与IT业无关,2,美股 评论 ： 选举 结果 与 IT 业 无关,2
1305,兔牙男林宥嘉极度自卑 上学时遭同学排挤(图),9,兔牙 男林 宥 嘉 极度 自卑   上学时 遭 同学 排挤 ,9
1306,全民网络游戏大赛落幕,4,全民 网络游戏 大赛 落幕,8
1307,希拉里与叙利亚外长握手交谈,6,希拉里 与 叙利亚 外长 握手 交谈,6
1308,人保部称金融国企高管薪酬280万封顶偏高,0,人保部 称 金融 国企 高管 薪酬 280 万 封顶 偏高,2
1309,姚良松：从家居的角度看房地产发展趋势,1,姚良松 ： 从 家居 的 角度看 房地产 发展趋势,1
1310,全球大宗商品价格普涨,0,全球 大宗 商品价格 普涨,0
1311,男子被用铁链锁在栏杆上 民警将其带回调查(图),5,男子 被 用 铁链 锁 在 栏杆 上   民警 将 其 带回,5
1312,米克尔森不赞成禁止长推杆 自己或许也会去尝试,7,米克尔 森不 赞成 禁止 长 推杆   自己 或许 也 会 ,6
1313,基金看走眼收益差两成 今年最牛基金收益不足1%,0,基金 看走眼 收益 差 两成   今年 最牛 基金 收益 不,0
1314,查韦斯表示将拒绝美国新大使入境,6,查韦斯 表示 将 拒绝 美国 新 大使 入境,6
1315,“绝对唱响”发布《选秀七律》,9,“ 绝对 唱响 ” 发布 《 选秀 七律 》,4
1316,派出所民警执法时抽烟被停职(图),5,派出所 民警 执法 时 抽烟 被 停职 ( 图 ),5
1317,须知：成考报名现场确认考生必备五种物品,3,须知 ： 成考 报名 现场 确认 考生 必备 五种 物品,3
1318,民警假扮买家潜入藏脏窝点破获近百万元案件,5,民警 假扮 买家 潜入 藏脏 窝点 破获 近 百万元 案件,5
1319,波兰正全力营救在巴基斯坦遭绑工程师,6,波兰 正 全力 营救 在 巴基斯坦 遭绑 工程师,6
1320,扩散器尘埃落定新秩序继续 KERS在上赛道有用武之地,7,扩散器 尘埃落定 新 秩序 继续   KERS 在 上 赛道,7
1321,南方深成ETF今日深交所挂牌上市,0,南方 深成 ETF 今日 深交所 挂牌 上市,0
1322,组图：戒毒所内的特殊婚礼,5,组图 ： 戒毒所 内 的 特殊 婚礼,9
1323,图文-莱德杯四人两球赛战况 埃多奥多欢呼,7,图文 - 莱德杯 四人 两 球赛 战况   埃多 奥多 欢呼,7
1324,女大学生被车撞飞身亡 肇事司机是偷车贼,5,女 大学生 被车撞 飞 身亡   肇事 司机 是 偷车贼,5
1325,手机网游《神域OL》年后开服更精彩,8,手机 网游 《 神域 OL 》 年 后 开服 更 精彩,8
1326,AC米兰转会重开闪电确定一笔收购 高性价比强人将加盟,7,AC 米兰 转会 重开 闪电 确定 一笔 收购   高性价比,7
1327,播种希望品尝风景乐活主题项目11日启动(组图),1,播种 希望 品尝 风景 乐活 主题 项目 11 日 启动 (,1
1328,男子遭10余人当街围砍 疑为对方认错人,5,男子 遭 10 余人 当街 围 砍   疑为 对方 认错 人,5
1329,蒋方舟称北京高考作文题目过于飘 有性别歧视,3,蒋方舟 称 北京 高考 作文题目 过于 飘   有 性别歧视,3
1330,东亚银行加入国际板首单争夺战,0,东亚银行 加入 国际 板首单 争夺战,2
1331,汇总：2011年高考各地成绩公布时间及查分方式,3,汇总 ： 2011 年 高考 各地 成绩 公布 时间 及 查,3
1332,Apple2011年游戏销售额将达16亿美元,8,Apple2011 年 游戏 销售额 将 达 16 亿美元,8
1333,中国金属再生资源主席配股集资6.36亿元,2,中国 金属 再生资源 主席 配股 集资 6.36 亿元,0
1334,2009中国房地产管理高峰论坛(组图),1,2009 中国 房地产 管理 高峰论坛 ( 组图 ),1
1335,老布乐观面对处子秀 直言破“恐韩症”有独家秘诀,7,老布 乐观 面对 处子秀   直言 破 “ 恐韩症 ” 有 ,7
1336,农产品抛储释价格降温信号 下半年或现拐点,0,农产品 抛储释 价格 降温 信号   下半年 或现 拐点,0
1337,法国法院批准拍卖中国圆明园青铜兽首(组图),0,法国 法院 批准 拍卖 中国 圆明园 青铜 兽首 ( 组图 ,9
1338,韩国外长召见日本大使就日本教科书表不满,6,韩国 外长 召见 日本 大使 就 日本 教科书 表 不满,6
1339,IPO首发阵容料两日内见分晓 最快下周重启,1,IPO 首发 阵容 料 两日 内 见分晓   最快 下周 重,7
1340,微博联播：李冰冰探访切尔西 送秘扇为切赫庆生,9,微博 联播 ： 李冰冰 探访 切尔西   送 秘扇 为 切赫,7
1341,股民用他人账户密码恶意炒作损失10万元,5,股 民用 他人 账户 密码 恶意 炒作 损失 10 万元,5
1342,威尔金斯：勒布朗应参加扣篮大赛 不夺冠影响不大,7,威尔 金斯 ： 勒布朗 应 参加 扣篮 大赛   不 夺冠 ,7
1343,国家级高铁网络催生轨道交通商务区论坛（组图）,1,国家级 高铁 网络 催生 轨道交通 商务区 论坛 （ 组图 ,9
1344,受让建行H股供股认购权 淡马锡加仓国内资产,2,受让 建行 H股 供股 认购 权   淡马锡 加仓 国内 资,2
1345,入门单反性能王 佳能550D价格略有小涨,4,入门 单反 性能 王   佳能 550D 价格 略有 小涨,4
1346,财通证券：多空进入战略相持 大盘重回区间震荡,2,财通 证券 ： 多空 进入 战略 相持   大盘 重回 区间,2
1347,重质量更要重价格 IPS硬屏液晶电视盘点,4,重 质量 更要 重 价格   IPS 硬屏 液晶电视 盘点,4
1348,夏季联赛总决赛QQ飞车御用A车劲霸曝光,8,夏季 联赛 总决赛 QQ 飞车 御用 A 车劲霸 曝光,8
1349,LG笔记本和上网本集成HSPA移动宽带,4,LG 笔记本 和 上网 本 集成 HSPA 移动 宽带,4
1350,阿富汗首都喀布尔发生爆炸,6,阿富汗 首都 喀布尔 发生爆炸,6
1351,四川德阳08年10月自考补报名时间确定,3,四川 德阳 08 年 10 月 自考 补报名 时间 确定,3
1352,《生日》全国公映 祝愿父亲节亲情回归(组图),9,《 生日 》 全国 公映   祝愿 父亲节 亲情 回归 ( ,9
1353,土耳其在过境伊朗飞机上发现非法物资,6,土耳其 在 过境 伊朗 飞机 上 发现 非法 物资,6
1354,大兴东亚马赛公馆9月18日开盘现每日优惠300,1,大兴 东亚 马赛 公馆 9 月 18 日 开盘 现 每日 优,1
1355,英国军情五处疑误招基地组织支持者,6,英国 军情 五处 疑误 招 基地 组织 支持者,6
1356,德国公布大名单：绝对核心伤愈归队 勒沃库森红人入选,7,德国 公布 大 名单 ： 绝对 核心 伤愈 归队   勒沃库,8
1357,李美凤保养得宜 自曝遇年轻男子搭讪(图),9,李美凤 保养 得宜   自 曝遇 年轻 男子 搭讪 ( 图 ,5
1358,汇添富抽调精兵拓展专户,0,汇添富 抽调 精兵 拓展 专户,0
1359,需求不振 棉价涨势受考验,0,需求 不振   棉价 涨势 受 考验,0
1360,FOX火箭需做出改变 让巴丁格分享巴蒂尔上场时间,7,FOX 火箭 需 做出 改变   让 巴丁 格 分享 巴蒂尔,7
